date,position,cash,mkt_val,NAV
2024-10-17,100,42911.21428571429,58235.0,101146.21428571429
2024-10-18,100,42911.21428571429,58459.0,101370.21428571429
2024-10-21,100,42911.21428571429,58363.0,101274.21428571429
2024-10-22,100,42911.21428571429,58332.00000000001,101243.21428571429
2024-10-23,0,100710.21428571429,0.0,100710.21428571429
2024-10-24,0,100710.21428571429,0.0,100710.21428571429
2024-10-25,0,100710.21428571429,0.0,100710.21428571429
2024-10-28,0,100710.21428571429,0.0,100710.21428571429
2024-10-29,0,100710.21428571429,0.0,100710.21428571429
2024-10-30,0,100710.21428571429,0.0,100710.21428571429
2024-10-31,0,100710.21428571429,0.0,100710.21428571429
2024-11-01,0,100710.21428571429,0.0,100710.21428571429
2024-11-04,0,100710.21428571429,0.0,100710.21428571429
2024-11-05,0,100710.21428571429,0.0,100710.21428571429
2024-11-06,100,41606.21428571429,59104.0,100710.21428571429
2024-11-07,100,41606.21428571429,59561.0,101167.21428571429
2024-11-08,100,41606.21428571429,59819.00000000001,101425.21428571429
2024-11-11,100,41606.21428571429,59876.0,101482.21428571429
2024-11-12,100,41606.21428571429,59690.0,101296.21428571429
2024-11-13,100,41606.21428571429,59719.00000000001,101325.21428571429
2024-11-14,100,41606.21428571429,59335.0,100941.21428571429
2024-11-15,0,100084.57142857142,0.0,100084.57142857142
2024-11-18,0,100084.57142857142,0.0,100084.57142857142
2024-11-19,0,100084.57142857142,0.0,100084.57142857142
2024-11-20,0,100084.57142857142,0.0,100084.57142857142
2024-11-21,0,100084.57142857142,0.0,100084.57142857142
2024-11-22,0,100084.57142857142,0.0,100084.57142857142
2024-11-25,0,100084.57142857142,0.0,100084.57142857142
2024-11-26,0,100084.57142857142,0.0,100084.57142857142
2024-11-27,0,100084.57142857142,0.0,100084.57142857142
2024-11-29,100,39829.57142857143,60254.99999999999,100084.57142857142
2024-12-02,100,39829.57142857143,60363.0,100192.57142857142
2024-12-03,100,39829.57142857143,60391.0,100220.57142857142
2024-12-04,100,39829.57142857143,60766.0,100595.57142857142
2024-12-05,100,39829.57142857143,60666.0,100495.57142857142
2024-12-06,100,39829.57142857143,60780.99999999999,100610.57142857142
2024-12-09,100,39829.57142857143,60467.99999999999,100297.57142857142
2024-12-10,100,39829.57142857143,60279.99999999999,100109.57142857142
2024-12-11,100,39829.57142857143,60746.0,100575.57142857142
2024-12-12,100,39829.57142857143,60433.00000000001,100262.57142857143
2024-12-13,0,100250.57142857142,0.0,100250.57142857142
